"","Annot","Term","Annotated","Significant","Pvalue","Padj","GeneID"
"GO:0048522","GO:0048522","positive regulation of cellular process",6055,61,1.4585778943689e-07,3.94248304308001e-05,"Abcc1,Acvr2b,Agap2,Anxa1,Arnt2,Arrdc4,Atp10a,Atp2c1,Bbs7,Bcas3,Bst1,Ccna2,Cd300a,Cfl2,Chrna7,Chst2,Clcf1,Clec16a,Cyfip1,Dab1,Dhx36,Eif2a,Elovl5,Eny2,Etv1,Fbxl5,Fgf2,Gclc,Gm5150,Gm9733,Grk5,Gsap,H2-DMb1,Htr2c,Huwe1,Il16,Iqgap1,Klf5,Litaf,Met,Mid1,Mllt3,Myh10,Myom1,Nfia,Nmd3,Pde4d,Plk2,Plscr1,Plxna4,Rbpms,Rora,Sall1,Sesn1,Sirpb1a,Srsf1,Tfdp2,Tfec,Thy1,Tmem33,Zmat3"
"GO:0043547","GO:0043547","positive regulation of GTPase activity",256,11,1.53953128919493e-07,3.94248304308001e-05,"Adap2,Arap2,Bcas3,Rabgap1l,Sipa1l1,Snx13,Tbc1d14,Tbc1d15,Tbc1d30,Tbc1d4,Thy1"
"GO:0032879","GO:0032879","regulation of localization",2954,38,2.60943857003973e-07,5.94738891847643e-05,"Abcc1,Akap1,Anxa1,Atp2c1,Bcas3,Bst1,Cd300a,Chrna7,Chst2,Clcf1,Cltc,Cyfip1,Dhx36,Eny2,Fgf2,Gclc,Gm5150,Gm9733,Htr2c,Il16,Inpp4b,Iqgap1,Lyplal1,Mctp2,Met,Myh10,Myom1,Nmd3,Pde4d,Plk2,Plxna4,Ptprm,Rabgap1l,Sirpb1a,Tbc1d4,Thy1,Tmem135,Ttc39b"
"GO:0007010","GO:0007010","cytoskeleton organization",1457,25,2.70951659156101e-07,5.94738891847643e-05,"Agap2,Anxa1,Arhgap26,Atp2c1,Bcas3,Bst1,Cc2d2a,Cetn4,Cfl2,Chordc1,Cltc,Cyfip1,Haus8,Iqgap1,Met,Mid1,Myh10,Pdlim1,Plk2,Pstpip1,Rnd3,Sipa1l1,Tbcel,Thy1,Tuba1a"
"GO:0050794","GO:0050794","regulation of cellular process",11920,95,4.30183480377906e-07,8.8130255680087e-05,"Abcc1,Ackr4,Acvr2b,Adap2,Agap2,Akap1,Anxa1,Arap2,Arhgap26,Arnt2,Arrdc4,Atp10a,Atp2c1,Bbs7,Bcas3,Bod1l,Bst1,Cc2d2a,Ccna2,Cd300a,Cfl2,Chordc1,Chrna7,Chst2,Clcf1,Clec16a,Clmn,Cltc,Csmd3,Cyfip1,Dab1,Dhx36,Eif2a,Elovl5,Eny2,Etv1,Fbxl5,Fgf2,Gclc,Gm5150,Gm9733,Gnb4,Grk5,Gsap,H2-DMb1,Htr2c,Huwe1,Il16,Inpp4b,Iqgap1,Klf5,Litaf,Lyplal1,Mctp2,Met,Mid1,Mllt3,Mrgpra2b,Myh10,Myom1,Nfia,Nmd3,Nrcam,Nudt6,Pde4d,Pdlim1,Plk2,Plscr1,Plxna4,Ppp1r3b,Ptpn12,Ptprm,Rbfox1,Rbpms,Rgs18,Rnd3,Rora,Sall1,Serpina1b,Sesn1,Sipa1l1,Sirpb1a,Slfn2,Snx13,Srsf1,Tbc1d14,Tbc1d30,Tbc1d4,Tfdp2,Tfec,Thy1,Tmem135,Tmem33,Tuba1a,Zmat3"
"GO:0048519","GO:0048519","negative regulation of biological process",5659,57,4.93453447555699e-07,9.47739027711664e-05,"Abcc1,Acvr2b,Agap2,Akap1,Anxa1,Arnt2,Bcas3,Bod1l,Cd300a,Chordc1,Chrna7,Clcf1,Clec16a,Clmn,Cltc,Cyfip1,Dab1,Dhx36,Eny2,Eri1,Fgf2,Gclc,Grk5,Htr2c,Huwe1,Inpp4b,Iqgap1,Isg20,Klf5,Litaf,Lyplal1,Met,Mid1,Mllt3,Nudt6,Pde4d,Plk2,Plscr1,Plxna4,Ptprm,Rgs18,Rora,Sall1,Serpina1b,Sesn1,Slfn2,Snx13,Srsf1,Tbc1d14,Tbc1d30,Tbc1d4,Tfdp2,Tfec,Thy1,Tspan8,Ttc39b,Zmat3"
"GO:0048518","GO:0048518","positive regulation of biological process",6618,63,6.57524910239833e-07,0.000118857297009824,"Abcc1,Acvr2b,Agap2,Anxa1,Arnt2,Arrdc4,Atp10a,Atp2c1,Bbs7,Bcas3,Bst1,Ccna2,Cd300a,Cfl2,Chrna7,Chst2,Clcf1,Clec16a,Cyfip1,Dab1,Dhx36,Eif2a,Elovl5,Eny2,Etv1,Fbxl5,Fgf2,Gclc,Gm5150,Gm9733,Grk5,Gsap,H2-DMb1,Htr2c,Huwe1,Il16,Iqgap1,Klf5,Litaf,Met,Mid1,Mllt3,Myh10,Myom1,Nfia,Nmd3,Pde4d,Plk2,Plscr1,Plxna4,Polr3f,Rbpms,Rora,Sall1,Sesn1,Sirpb1a,Srsf1,Tfdp2,Tfec,Thy1,Tmem135,Tmem33,Zmat3"
"GO:0050896","GO:0050896","response to stimulus",10000,83,1.12105105614564e-06,0.000178988816324865,"Abcc1,Ackr4,Acvr2b,Adap2,Agap2,Akap1,Anxa1,Arap2,Arhgap26,Arnt2,Bbs7,Bcas3,Bod1l,Bst1,Cc2d2a,Cd300a,Chordc1,Chrna7,Chst2,Clcf1,Clec10a,Clec16a,Cyfip1,Dab1,Dhx36,Eif2a,Emb,Eny2,Etv1,F8,Fgf2,Gclc,Gnb4,Grk5,H2-DMb1,Htr2c,Huwe1,Ifi202b,Il16,Inpp4b,Iqgap1,Isg20,Klf5,Litaf,Met,Mid1,Mllt3,Mrgpra2b,Myh10,Myom1,Nrcam,Paqr8,Pde4d,Plk2,Plscr1,Plxna4,Polr3f,Pstpip1,Ptpn12,Ptprm,Rbpms,Rgs18,Rnd3,Rora,Sall1,Serpina1b,Sesn1,Sipa1l1,Sirpb1a,Slfn2,Slfn8,Slfn9,Snx13,Srsf1,Tbc1d4,Tfec,Thy1,Tmem135,Tmem33,Trpm6,Tspan8,Wfdc17,Zmat3"
"GO:0033043","GO:0033043","regulation of organelle organization",1158,21,1.1372823441462e-06,0.000178988816324865,"Anxa1,Bcas3,Bst1,Cfl2,Clec16a,Cltc,Cyfip1,Dhx36,Gclc,Huwe1,Iqgap1,Met,Mid1,Plk2,Rnd3,Sipa1l1,Tbc1d14,Tbc1d30,Tbc1d4,Tmem135,Tmem33"
"GO:0031325","GO:0031325","positive regulation of cellular metabolic process",3274,39,1.2319536004422e-06,0.000178988816324865,"Acvr2b,Agap2,Anxa1,Arnt2,Arrdc4,Bbs7,Bcas3,Ccna2,Cd300a,Chrna7,Clcf1,Clec16a,Dab1,Dhx36,Elovl5,Eny2,Etv1,Fbxl5,Fgf2,Gclc,Gsap,Htr2c,Huwe1,Iqgap1,Klf5,Litaf,Met,Mllt3,Nfia,Nmd3,Pde4d,Plk2,Rbpms,Rora,Sall1,Sesn1,Srsf1,Tfdp2,Tfec"
"GO:0009893","GO:0009893","positive regulation of metabolic process",3809,43,1.24172662682321e-06,0.000178988816324865,"Acvr2b,Agap2,Anxa1,Arnt2,Arrdc4,Bbs7,Bcas3,Ccna2,Cd300a,Chrna7,Clcf1,Clec16a,Dab1,Dhx36,Elovl5,Eny2,Etv1,Fbxl5,Fgf2,Gclc,Gsap,Htr2c,Huwe1,Il16,Iqgap1,Klf5,Litaf,Met,Mllt3,Myom1,Nfia,Nmd3,Pde4d,Plk2,Polr3f,Rbpms,Rora,Sall1,Sesn1,Srsf1,Tfdp2,Tfec,Tmem135"
"GO:0090630","GO:0090630","activation of GTPase activity",101,7,1.2814038266017e-06,0.000178988816324865,"Bcas3,Rabgap1l,Sipa1l1,Tbc1d14,Tbc1d15,Tbc1d30,Tbc1d4"
"GO:0051336","GO:0051336","regulation of hydrolase activity",980,19,1.45886828625893e-06,0.000187129516181884,"Adap2,Anxa1,Arap2,Bcas3,Bod1l,Cd300a,Fgf2,Iqgap1,Met,Plxna4,Rabgap1l,Serpina1b,Sipa1l1,Snx13,Tbc1d14,Tbc1d15,Tbc1d30,Tbc1d4,Thy1"
"GO:0043085","GO:0043085","positive regulation of catalytic activity",1077,20,1.46147360506515e-06,0.000187129516181884,"Acvr2b,Adap2,Agap2,Arap2,Arrdc4,Bcas3,Cd300a,Chrna7,Dab1,Fgf2,Iqgap1,Met,Rabgap1l,Sipa1l1,Snx13,Tbc1d14,Tbc1d15,Tbc1d30,Tbc1d4,Thy1"
"GO:0006935","GO:0006935","chemotaxis",629,15,1.68333589619004e-06,0.000206915648359679,"Abcc1,Ackr4,Anxa1,Bst1,Cyfip1,Emb,Etv1,Fgf2,Il16,Met,Myh10,Nrcam,Pde4d,Plxna4,Ptprm"
"GO:0042330","GO:0042330","taxis",634,15,1.85499877621507e-06,0.000219246586127266,"Abcc1,Ackr4,Anxa1,Bst1,Cyfip1,Emb,Etv1,Fgf2,Il16,Met,Myh10,Nrcam,Pde4d,Plxna4,Ptprm"
"GO:0006950","GO:0006950","response to stress",3910,43,2.48974984220778e-06,0.000278238651632815,"Abcc1,Akap1,Anxa1,Arnt2,Bcas3,Bod1l,Bst1,Cd300a,Chordc1,Chrna7,Chst2,Clcf1,Clec10a,Clec16a,Dhx36,Eif2a,F8,Fgf2,Gclc,Htr2c,Huwe1,Il16,Isg20,Met,Mid1,Myh10,Plk2,Plscr1,Polr3f,Pstpip1,Rbpms,Rora,Serpina1b,Sesn1,Slfn8,Slfn9,Tfec,Thy1,Tmem135,Tmem33,Tspan8,Wfdc17,Zmat3"
"GO:0048583","GO:0048583","regulation of response to stimulus",4051,44,2.53520411510538e-06,0.000278238651632815,"Abcc1,Acvr2b,Agap2,Akap1,Anxa1,Arhgap26,Bst1,Cd300a,Chordc1,Chrna7,Clcf1,Clec16a,Cyfip1,Dab1,Dhx36,Eif2a,Eny2,Fgf2,Gclc,Grk5,H2-DMb1,Htr2c,Il16,Inpp4b,Iqgap1,Litaf,Met,Mid1,Mllt3,Pde4d,Plscr1,Plxna4,Polr3f,Ptpn12,Rbpms,Rgs18,Rora,Sall1,Sesn1,Sipa1l1,Snx13,Thy1,Tmem33,Tspan8"
"GO:0009605","GO:0009605","response to external stimulus",2992,36,2.83339130193131e-06,0.000300241774856377,"Abcc1,Ackr4,Akap1,Anxa1,Bcas3,Bst1,Chrna7,Clcf1,Clec16a,Cyfip1,Dhx36,Eif2a,Emb,Etv1,Fgf2,Htr2c,Il16,Isg20,Litaf,Met,Myh10,Nrcam,Pde4d,Plscr1,Plxna4,Polr3f,Pstpip1,Ptprm,Rora,Sesn1,Slfn2,Slfn8,Slfn9,Tmem135,Tspan8,Wfdc17"
"GO:0048523","GO:0048523","negative regulation of cellular process",5087,51,3.16971926222453e-06,0.000324684909760533,"Abcc1,Acvr2b,Agap2,Akap1,Anxa1,Arnt2,Bcas3,Bod1l,Cd300a,Chordc1,Chrna7,Clcf1,Clec16a,Clmn,Cltc,Dab1,Dhx36,Eny2,Fgf2,Gclc,Grk5,Htr2c,Huwe1,Inpp4b,Iqgap1,Klf5,Litaf,Lyplal1,Met,Mid1,Mllt3,Nudt6,Pde4d,Plk2,Plxna4,Ptprm,Rgs18,Rora,Sall1,Serpina1b,Sesn1,Slfn2,Snx13,Srsf1,Tbc1d14,Tbc1d30,Tbc1d4,Tfdp2,Tfec,Thy1,Zmat3"
"GO:0007155","GO:0007155","cell adhesion",1453,23,3.35584149104301e-06,0.000332661319418554,"Anxa1,Atp2c1,Bcas3,Bst1,Cd300a,Cd93,Chst2,Dab1,Emb,Gm5150,Gm9733,H2-DMb1,Iqgap1,Myh10,Nrcam,Pde4d,Plxna4,Pstpip1,Ptprm,Siglech,Sirpb1a,Thy1,Tln2"
"GO:0051641","GO:0051641","cellular localization",2889,35,3.46765926503871e-06,0.000333003653795749,"Agap2,Akap1,Ankrd50,Atp2c1,Bbs7,Bcas3,Cc2d2a,Cd300a,Chrna7,Clec16a,Clmn,Cltc,Cyfip1,Dab1,Dhx36,Eny2,Fam126a,Fgf2,Gclc,Htr2c,Inpp4b,Ipo11,Klf5,Lyplal1,Mctp2,Mid1,Myh10,Nbea,Nmd3,Nupl2,Pde4d,Snx13,Srsf1,Tbc1d14,Thy1"
"GO:0050790","GO:0050790","regulation of catalytic activity",1805,26,4.00272978440361e-06,0.000372739049317342,"Acvr2b,Adap2,Agap2,Anxa1,Arap2,Arrdc4,Bcas3,Bod1l,Ccna2,Cd300a,Chordc1,Chrna7,Dab1,Fgf2,Iqgap1,Met,Plxna4,Rabgap1l,Serpina1b,Sipa1l1,Snx13,Tbc1d14,Tbc1d15,Tbc1d30,Tbc1d4,Thy1"
"GO:0010604","GO:0010604","positive regulation of macromolecule metabolic process",3463,39,4.87240927783885e-06,0.000440379815023493,"Acvr2b,Agap2,Anxa1,Arnt2,Arrdc4,Bbs7,Bcas3,Ccna2,Cd300a,Chrna7,Clcf1,Dab1,Dhx36,Eny2,Etv1,Fbxl5,Fgf2,Gclc,Gsap,Huwe1,Il16,Iqgap1,Klf5,Litaf,Met,Mllt3,Myom1,Nfia,Nmd3,Pde4d,Plk2,Polr3f,Rbpms,Rora,Sall1,Srsf1,Tfdp2,Tfec,Tmem135"
"GO:0006996","GO:0006996","organelle organization",3774,41,6.29931753979907e-06,0.00054826621749779,"Agap2,Anxa1,Arhgap26,Atp2c1,Bbs7,Bcas3,Bst1,Cc2d2a,Cetn4,Cfl2,Chd9,Chordc1,Clec16a,Cltc,Cyfip1,Dhx36,Eif2a,Eny2,Gclc,Haus8,Huwe1,Iqgap1,Met,Mid1,Mllt3,Myh10,Nasp,Pdlim1,Pi4k2b,Plk2,Pstpip1,Rnd3,Sipa1l1,Tbc1d14,Tbc1d30,Tbc1d4,Tbcel,Thy1,Tmem135,Tmem33,Tuba1a"
"GO:0040011","GO:0040011","locomotion",1971,27,6.4229039472569e-06,0.00054826621749779,"Abcc1,Ackr4,Anxa1,Bcas3,Bst1,Cd300a,Cfl2,Chrna7,Chst2,Cyfip1,Dab1,Emb,Etv1,Fgf2,Htr2c,Il16,Iqgap1,Met,Myh10,Nrcam,Pde4d,Pdlim1,Plk2,Plxna4,Ptprm,Rnd3,Thy1"
"GO:0051345","GO:0051345","positive regulation of hydrolase activity",539,13,7.57063558372706e-06,0.000628771976994412,"Adap2,Arap2,Bcas3,Cd300a,Fgf2,Rabgap1l,Sipa1l1,Snx13,Tbc1d14,Tbc1d15,Tbc1d30,Tbc1d4,Thy1"
"GO:0030029","GO:0030029","actin filament-based process",820,16,9.61245691142788e-06,0.000777344212863629,"Agap2,Anxa1,Arhgap26,Atp2c1,Bcas3,Bst1,Cfl2,Cyfip1,Iqgap1,Met,Myh10,Pde4d,Pdlim1,Pstpip1,Rnd3,Sipa1l1"
"GO:0030036","GO:0030036","actin cytoskeleton organization",733,15,1.06075066940876e-05,0.00083581713002388,"Agap2,Anxa1,Arhgap26,Atp2c1,Bcas3,Bst1,Cfl2,Cyfip1,Iqgap1,Met,Myh10,Pdlim1,Pstpip1,Rnd3,Sipa1l1"
"GO:0006796","GO:0006796","phosphate-containing compound metabolic process",2664,32,1.19524795661252e-05,0.000918249242667565,"Acvr2b,Agap2,Akap1,Bod1l,Bst1,Ccna2,Cd300a,Chordc1,Chrna7,Clcf1,Dab1,Eif2a,Fam126a,Fgf2,Grk5,Htr2c,Inpp4b,Iqgap1,Mcee,Met,Papss1,Pde4d,Pi4k2b,Plk2,Plscr1,Ptpn12,Ptprm,Rbpms,Rora,Thy1,Trpm6,Ublcp1"
"GO:0009966","GO:0009966","regulation of signal transduction",2938,34,1.32233510748053e-05,0.000985999744157443,"Acvr2b,Agap2,Arhgap26,Bst1,Cd300a,Chrna7,Clcf1,Clec16a,Cyfip1,Dab1,Dhx36,Eif2a,Fgf2,Gclc,Grk5,Htr2c,Inpp4b,Iqgap1,Litaf,Met,Mid1,Mllt3,Pde4d,Plscr1,Ptpn12,Rbpms,Rgs18,Rora,Sall1,Sesn1,Sipa1l1,Snx13,Thy1,Tmem33"
"GO:0006793","GO:0006793","phosphorus metabolic process",2683,32,1.37989983249688e-05,0.000985999744157443,"Acvr2b,Agap2,Akap1,Bod1l,Bst1,Ccna2,Cd300a,Chordc1,Chrna7,Clcf1,Dab1,Eif2a,Fam126a,Fgf2,Grk5,Htr2c,Inpp4b,Iqgap1,Mcee,Met,Papss1,Pde4d,Pi4k2b,Plk2,Plscr1,Ptpn12,Ptprm,Rbpms,Rora,Thy1,Trpm6,Ublcp1"
"GO:0071702","GO:0071702","organic substance transport",2429,30,1.39425942131961e-05,0.000985999744157443,"Abcc1,Acvr2b,Akap1,Anxa1,Arrdc4,Atp10a,Atp2c1,Bbs7,Bcas3,Cd300a,Chrna7,Clcf1,Cltc,Emb,Eny2,Htr2c,Ipo11,Lyplal1,Met,Myh10,Myom1,Nasp,Nbea,Nmd3,Nupl2,Plscr1,Rabgap1l,Snx13,Srsf1,Zmat3"
"GO:0098609","GO:0098609","cell-cell adhesion",846,16,1.41177965320298e-05,0.000985999744157443,"Anxa1,Atp2c1,Cd300a,Cd93,Chst2,Dab1,Emb,Gm5150,Gm9733,H2-DMb1,Nrcam,Pde4d,Ptprm,Sirpb1a,Thy1,Tln2"
"GO:0033036","GO:0033036","macromolecule localization",2956,34,1.50377372357165e-05,0.00102691036723015,"Abcc1,Acvr2b,Akap1,Anxa1,Arrdc4,Atp10a,Atp2c1,Bbs7,Bcas3,Cc2d2a,Cltc,Dhx36,Eny2,Fam126a,Ipo11,Iqgap1,Klf5,Lyplal1,Mid1,Myh10,Myom1,Nasp,Nbea,Nmd3,Nrcam,Nupl2,Plscr1,Rabgap1l,Snx13,Srsf1,Thy1,Tmem135,Ttc39b,Zmat3"
"GO:0010646","GO:0010646","regulation of cell communication",3505,38,1.60933588753252e-05,0.00107510634399727,"Acvr2b,Agap2,Anxa1,Arhgap26,Bst1,Cd300a,Chrna7,Clcf1,Clec16a,Cyfip1,Dab1,Dhx36,Eif2a,Eny2,Fgf2,Gclc,Grk5,Htr2c,Inpp4b,Iqgap1,Litaf,Mctp2,Met,Mid1,Mllt3,Pde4d,Plk2,Plscr1,Ptpn12,Rbpms,Rgs18,Rora,Sall1,Sesn1,Sipa1l1,Snx13,Thy1,Tmem33"
