Annot	Term	Annotated	Significant	Pvalue	Padj	GeneID
GO:1901617	GO:1901617	organic hydroxy compound biosynthetic process	191	21	2.53991774002047e-16	6.83628628640893e-14	Dhcr7,Per2,Dhcr24,Insig1,Tm7sf2,Cyp51,Sc5d,Stard4,Fdps,Mvd,Lss,Nsdhl,Fdft1,Hsd17b7,Hmgcs2,Hmgcr,Cdh3,Mvk,Hmgcs1,Sqle,Msmo1
GO:1901615	GO:1901615	organic hydroxy compound metabolic process	410	28	6.23902674995333e-16	1.55931104272048e-13	Dhcr7,Per2,Dhcr24,Insig1,Tm7sf2,Cyp51,Sc5d,Stard4,Ldlr,Fdps,Mvd,Dhrs3,Lss,Nsdhl,Fdft1,Hsd17b7,Trp53,Hmgcs2,Mbtps1,Srebf2,Hmgcr,Cdh3,Abca2,Mtmr2,Mvk,Hmgcs1,Sqle,Msmo1
GO:0046165	GO:0046165	alcohol biosynthetic process	96	16	1.24634619258099e-15	2.9073102185606e-13	Dhcr7,Dhcr24,Insig1,Tm7sf2,Cyp51,Sc5d,Fdps,Mvd,Lss,Fdft1,Nsdhl,Hsd17b7,Hmgcs2,Hmgcr,Mvk,Hmgcs1
GO:0044283	GO:0044283	small molecule biosynthetic process	444	27	3.60461426904847e-14	7.88284082962536e-12	Dhcr7,Per2,Dhcr24,Insig1,Tm7sf2,Fads2,Acly,Cyp51,Sc5d,Elovl4,Stard4,Fdps,Mvd,Lss,Nsdhl,Fdft1,Acsl3,Hsd17b7,Hmgcs2,Elovl6,Acss2,Fa2h,Hmgcr,Mvk,Hmgcs1,Mid1ip1,Glul
GO:0044710	GO:0044710	single-organism metabolic process	3622	81	5.84669893275454e-14	1.20338820974754e-11	Vat1,Cd24a,Dhcr7,Per2,Azin1,Dhcr24,Angptl4,Insig1,Tm7sf2,Pcyt2,Rgcc,Srd5a1,Lox,Fads2,Acly,Cyp51,Elovl4,Sc5d,Efr3b,Col1a1,Pip5k1b,Spag9,Adcy8,Agl,Pigq,Stard4,Ldlr,Slc25a23,Pank3,Fdps,Sesn1,Mvd,Dhrs3,Lss,Nsdhl,Fdft1,Xbp1,Hsd17b7,Acsl3,Mboat1,Hmgcs2,Trp53,Gpnmb,Tet3,Adipor1,Adcy1,Elovl6,Mme,Hsf4,Cds2,Mbtps1,Bdh1,Ppm1l,Idi1,Acss2,Cd63,Fa2h,Srebf2,Hmgcr,Mtmr2,Cdh3,Abca2,St3gal3,Mvk,Mbp,Hsd17b12,Hmgcs1,Mid1ip1,Dzip3,Hspa8,Fitm1,Sqle,Aacs,Ugt8a,Mapk8ip1,Vat1l,Acat2,Agpat3,Glul,Msmo1,Ranbp9
GO:0044255	GO:0044255	cellular lipid metabolic process	862	34	3.72857648854851e-12	7.2479384074618e-10	Per2,Insig1,Pcyt2,Fads2,Acly,Elovl4,Efr3b,Pip5k1b,Pigq,Stard4,Ldlr,Fdps,Mvd,Dhrs3,Fdft1,Acsl3,Mboat1,Hmgcs2,Adipor1,Elovl6,Cds2,Idi1,Acss2,Fa2h,Hmgcr,Mtmr2,Mvk,Hmgcs1,Mid1ip1,Fitm1,Aacs,Ugt8a,Agpat3,Acat2
GO:0044763	GO:0044763	single-organism cellular process	9986	148	7.384832845076e-12	1.35997526973268e-09	Rab34,Vat1,Nlrp1b,Slc39a13,Cd24a,Dhcr7,Per2,Azin1,Clec5a,Kcnk1,Col1a2,Sptb,Rtp4,Dhcr24,Hspa5,Mprip,Murc,Iqgap2,Angptl4,Gna12,Insig1,Frmd3,Arhgef10,Mal,Brinp1,Pcyt2,Slc7a2,Arhgap24,Snta1,Epyc,Ppp2r2c,Leo1,Limch1,Rgcc,Srd5a1,Lox,Dscc1,Fads2,Acly,Klf15,Elovl4,Scn3b,Drp2,Cacna1s,Chd5,Phlda3,Efr3b,Col1a1,Pip5k1b,Tsc22d3,Sgk1,Bicd1,Spag9,Adcy8,Cyb5d2,Agl,Pmp22,Pigq,Myo10,Stard4,Tesk2,Ldlr,Slc25a23,Nav1,Atxn1,Pank3,Fdps,Sesn1,Mvd,Dhrs3,Fscn1,Paqr8,Fdft1,Mpz,Xbp1,Tsc22d4,Cxcl12,Acsl3,Mboat1,Hmgcs2,Trp53,Gpnmb,Emp2,Tet3,Lrrc8a,Adipor1,Pdia6,Adcy1,Elovl6,Calm2,Mme,Serpine2,Marcks,Syna,Hsf4,Cds2,Slc9a9,Ikbkb,Klf13,Col14a1,Sparc,Ppm1l,Idi1,Hif3a,Acss2,Arid5b,Cd63,Sdc3,Cdkn2d,Plxnd1,Fa2h,Srebf2,Fam107a,Hmgcr,Mtmr2,Cdh3,St3gal3,Mvk,Hyou1,Mbp,Rassf4,Ppp1r16b,Mzb1,Id4,Hsd17b12,Prex2,Hmgcs1,Mid1ip1,Col4a1,Dzip3,Mt1,Hspa8,Fitm1,Sema5a,Aacs,Slc41a1,Ppid,Manf,Ugt8a,Mapk8ip1,Acat2,Agpat3,Tmod2,Cdk7,Tacc1,Glul,Ranbp9,Mt2
GO:0044699	GO:0044699	single-organism process	13406	178	2.26939419406961e-11	3.97030514252478e-09	Rab34,Vat1,Nlrp1b,Slc39a13,Cd24a,Dhcr7,Tfg,Per2,Azin1,Clec5a,Kcnk1,Col1a2,Sptb,Rtp4,Dhcr24,Maml3,Tef,Hspa5,Mprip,Murc,Iqgap2,Angptl4,Gna12,Insig1,Frmd3,Arhgef10,Tm7sf2,Mal,Brinp1,Pcyt2,Slc7a2,Slc25a1,Arhgap24,Snta1,Otud7b,Epyc,Ppp2r2c,Leo1,Limch1,Rgcc,Srd5a1,Col4a2,Lox,Dscc1,Fads2,Slco3a1,Acly,Klf15,Cyp51,Elovl4,Scn3b,Sc5d,Drp2,Cacna1s,Chd5,Phlda3,Efr3b,Col1a1,Pip5k1b,Tsc22d3,Sgk1,Bicd1,Spag9,Adcy8,Cyb5d2,Slc6a2,Agl,Pmp22,Pigq,Myo10,Stard4,Tesk2,Ldlr,Slc25a23,Nav1,Atxn1,Pank3,Fdps,Sesn1,Mvd,Dhrs3,Per3,Fscn1,Lss,Nsdhl,Gng12,Paqr8,Fdft1,Mpz,Plekhg2,Xbp1,Tsc22d4,Cxcl12,Hsd17b7,Acsl3,Mboat1,Hmgcs2,Trp53,Gpnmb,Emp2,Tet3,Lrrc8a,Adipor1,Pdia6,Adcy1,Elovl6,Calm2,Mme,Serpine2,Marcks,Syna,Gatsl2,Hsf4,Cds2,Dennd4b,Slc9a9,Ikbkb,Klf13,Ciart,Mbtps1,Col14a1,Bdh1,Sparc,Ppm1l,Idi1,Hif3a,Acss2,Arid5b,Cd63,Sdc3,Cdkn2d,Plxnd1,Fa2h,Srebf2,Dbp,Iigp1,Fam107a,Hmgcr,Mtmr2,Cdh3,Hnrnpm,Abca2,St3gal3,Mvk,Hyou1,Mbp,Rassf4,Ppp1r16b,Mzb1,Id4,Hsd17b12,Prex2,Hmgcs1,Mid1ip1,Col4a1,Dzip3,Mt1,Hspa8,Fitm1,Sqle,Sema5a,Aacs,Slc41a1,Ppid,Manf,Ugt8a,Mapk8ip1,Vat1l,Acat2,Agpat3,Tmod2,Cdk7,Tacc1,Glul,Msmo1,Ash2l,Ranbp9,Mt2
GO:0008299	GO:0008299	isoprenoid biosynthetic process	29	8	2.53905329693096e-10	4.23054642188639e-08	Fdps,Mvd,Fdft1,Hmgcs2,Idi1,Hmgcr,Mvk,Hmgcs1
GO:0044281	GO:0044281	small molecule metabolic process	1735	46	3.58310786241132e-10	5.698770186626e-08	Dhcr7,Per2,Azin1,Dhcr24,Insig1,Tm7sf2,Srd5a1,Fads2,Acly,Cyp51,Elovl4,Sc5d,Adcy8,Stard4,Ldlr,Slc25a23,Pank3,Fdps,Mvd,Dhrs3,Lss,Nsdhl,Fdft1,Acsl3,Hsd17b7,Trp53,Hmgcs2,Adipor1,Adcy1,Elovl6,Mme,Mbtps1,Acss2,Fa2h,Srebf2,Hmgcr,Mtmr2,Abca2,Mvk,Hmgcs1,Mid1ip1,Hspa8,Sqle,Aacs,Acat2,Glul
GO:0009987	GO:0009987	cellular process	15212	188	2.83456300039291e-09	4.31223301668469e-07	Rab34,Vat1,Nlrp1b,Slc39a13,Cd24a,Dhcr7,Tfg,Per2,Azin1,Clec5a,Kcnk1,Col1a2,Sptb,Rtp4,Dhcr24,Maml3,Tef,Hspa5,Mprip,Murc,Secisbp2l,Iqgap2,Angptl4,Gna12,Insig1,Frmd3,Arhgef10,Itih5,Mal,Brinp1,Trim34a,Pcyt2,Slc7a2,Arhgap24,Snta1,Otud7b,Col28a1,Epyc,Ppp2r2c,Leo1,Limch1,Rgcc,Srd5a1,Col4a2,Lox,Dscc1,C1qtnf6,Fads2,Acly,Rfc3,Klf15,Elovl4,Scn3b,Drp2,Cacna1s,Gm4951,Chd5,Phlda3,Efr3b,Tmtc1,Col1a1,Pip5k1b,Tsc22d3,Sgk1,Bicd1,Spag9,Adcy8,Cyb5d2,Agl,Pmp22,Pigq,Myo10,Stard4,Tesk2,Ldlr,Chst2,Slc25a23,Nav1,Med22,Atxn1,Pank3,Fdps,Sesn1,Sbk1,Mvd,Dhrs3,Per3,Fscn1,Nsdhl,Gng12,Paqr8,Fdft1,Mpz,Plekhg2,Xbp1,Tsc22d4,Cxcl12,Acsl3,Dusp18,Mboat1,Dda1,Hmgcs2,Trp53,Gpnmb,Emp2,Tet3,Lrrc8a,Adipor1,Pdia6,Dcun1d4,Adcy1,Elovl6,Calm2,Mme,Serpine2,Marcks,Tmem189,Syna,Gatsl2,Hsf4,Cds2,Dennd4b,Slc9a9,Ikbkb,Klf13,Ciart,Mbtps1,Col14a1,Sparc,Ppm1l,Pmp2,Gar1,Idi1,Hif3a,Acss2,Arid5b,Lcorl,Cd63,Sdc3,Cdkn2d,Plxnd1,Fa2h,Srebf2,Dbp,Iigp1,Gbp6,Fam107a,Hmgcr,Mtmr2,Cdh3,Hnrnpm,Abca2,St3gal3,Mvk,Hyou1,Mbp,Rassf4,Ppp1r16b,Med13l,Mzb1,Id4,Hsd17b12,Prex2,Hmgcs1,Mid1ip1,Col4a1,Dzip3,Mt1,Hspa8,Fitm1,Sqle,Pja1,Sema5a,Aacs,Slc41a1,Ppid,Manf,Ugt8a,Mapk8ip1,Acat2,Agpat3,Tmod2,Cdk7,Tacc1,Glul,Ash2l,Ranbp9,Mt2
GO:0008654	GO:0008654	phospholipid biosynthetic process	143	12	1.65230609489842e-08	2.40892459418733e-06	Pcyt2,Pip5k1b,Pigq,Fdps,Mvd,Acsl3,Mboat1,Cds2,Idi1,Mvk,Fitm1,Agpat3
GO:0009058	GO:0009058	biosynthetic process	5313	89	1.77491170529969e-08	2.48416642273744e-06	Dhcr7,Per2,Azin1,Sptb,Dhcr24,Maml3,Tef,Murc,Secisbp2l,Insig1,Tm7sf2,Pcyt2,Slc7a2,Otud7b,Leo1,Rgcc,Srd5a1,Col4a2,Dscc1,Fads2,Acly,Cyp51,Rfc3,Klf15,Elovl4,Sc5d,Chd5,Col1a1,Pip5k1b,Tsc22d3,Adcy8,Pigq,Stard4,Ldlr,Med22,Atxn1,Pank3,Fdps,Mvd,Per3,Lss,Nsdhl,Fdft1,Xbp1,Tsc22d4,Hsd17b7,Acsl3,Mboat1,Hmgcs2,Trp53,Tet3,Adcy1,Elovl6,Hsf4,Cds2,Ikbkb,Ciart,Klf13,Idi1,Acss2,Hif3a,Arid5b,Lcorl,Cdkn2d,Fa2h,Srebf2,Dbp,Hmgcr,Cdh3,Abca2,St3gal3,Mvk,Med13l,Id4,Mzb1,Hsd17b12,Hmgcs1,Mid1ip1,Hspa8,Fitm1,Sqle,Ppid,Ugt8a,Mapk8ip1,Agpat3,Cdk7,Glul,Msmo1,Ash2l
GO:1901576	GO:1901576	organic substance biosynthetic process	5234	88	1.89328201434637e-08	2.54792068007614e-06	Dhcr7,Per2,Azin1,Sptb,Dhcr24,Maml3,Tef,Murc,Secisbp2l,Insig1,Tm7sf2,Pcyt2,Otud7b,Leo1,Rgcc,Srd5a1,Col4a2,Dscc1,Fads2,Acly,Cyp51,Rfc3,Klf15,Elovl4,Sc5d,Chd5,Col1a1,Pip5k1b,Tsc22d3,Adcy8,Pigq,Stard4,Ldlr,Med22,Atxn1,Pank3,Fdps,Mvd,Per3,Lss,Nsdhl,Fdft1,Xbp1,Tsc22d4,Hsd17b7,Acsl3,Mboat1,Hmgcs2,Trp53,Tet3,Adcy1,Elovl6,Hsf4,Cds2,Ikbkb,Ciart,Klf13,Idi1,Acss2,Hif3a,Arid5b,Lcorl,Cdkn2d,Fa2h,Srebf2,Dbp,Hmgcr,Cdh3,Abca2,St3gal3,Mvk,Med13l,Id4,Mzb1,Hsd17b12,Hmgcs1,Mid1ip1,Hspa8,Fitm1,Sqle,Ppid,Ugt8a,Mapk8ip1,Agpat3,Cdk7,Glul,Msmo1,Ash2l
GO:0008152	GO:0008152	metabolic process	10301	141	3.47915179589775e-08	4.50872301253564e-06	Amz1,Vat1,Nlrp1b,Cd24a,Dhcr7,Per2,Azin1,Sptb,Dhcr24,Maml3,Tef,Hspa5,Mprip,Murc,Secisbp2l,Mlec,Angptl4,Gna12,Insig1,Tm7sf2,Itih5,Pcyt2,Slc7a2,Snta1,Otud7b,Col28a1,Ppp2r2c,Leo1,Rgcc,Srd5a1,Col4a2,Lox,Dscc1,Fads2,Acly,Rfc3,Cyp51,Klf15,Elovl4,Sc5d,Chd5,Efr3b,Tmtc1,Col1a1,Pip5k1b,Tsc22d3,Sgk1,Spag9,Adcy8,Agl,Pigq,Stard4,Tesk2,Ldlr,Chst2,Slc25a23,Med22,Atxn1,Pank3,Fdps,Sesn1,Sbk1,Mvd,Dhrs3,Per3,Lss,Nsdhl,Fdft1,Xbp1,Tsc22d4,Hsd17b7,Acsl3,C4b,Dusp18,Mboat1,Dda1,Hmgcs2,Trp53,Gpnmb,Emp2,Tet3,Adipor1,Dcun1d4,Adcy1,Elovl6,Mme,Serpine2,Tmem189,Hsf4,Cds2,Ikbkb,Klf13,Ciart,Mbtps1,Bdh1,Ppm1l,Gar1,Idi1,Hif3a,Acss2,Arid5b,Lcorl,Cd63,Cdkn2d,Fa2h,Srebf2,Dbp,Iigp1,Hmgcr,Mtmr2,Cdh3,Hnrnpm,Abca2,St3gal3,Mvk,Mbp,Ppp1r16b,Med13l,Mzb1,Id4,Hsd17b12,Prex2,Hmgcs1,Mid1ip1,Dzip3,Hspa8,Fitm1,Sqle,Pja1,Aacs,Ppid,Ugt8a,Mapk8ip1,Vat1l,Acat2,Agpat3,Cdk7,Glul,Msmo1,Ash2l,Ranbp9
GO:0006720	GO:0006720	isoprenoid metabolic process	73	9	3.74573106158648e-08	4.68082606588968e-06	Fdps,Dhrs3,Fdft1,Hmgcs2,Mvd,Idi1,Hmgcr,Mvk,Hmgcs1
GO:0055114	GO:0055114	oxidation-reduction process	905	28	6.87459020366678e-08	8.29454866297589e-06	Vat1,Dhcr7,Per2,Dhcr24,Tm7sf2,Srd5a1,Lox,Fads2,Cyp51,Sc5d,Agl,Slc25a23,Sesn1,Dhrs3,Fdft1,Nsdhl,Hsd17b7,Trp53,Adipor1,Tet3,Bdh1,Fa2h,Hmgcr,Hsd17b12,Sqle,Acat2,Vat1l,Msmo1
GO:0044238	GO:0044238	primary metabolic process	9301	130	7.78404649995283e-08	9.07879290111166e-06	Amz1,Nlrp1b,Cd24a,Dhcr7,Per2,Azin1,Dhcr24,Maml3,Tef,Hspa5,Mprip,Murc,Secisbp2l,Mlec,Angptl4,Gna12,Insig1,Tm7sf2,Itih5,Pcyt2,Snta1,Otud7b,Col28a1,Ppp2r2c,Leo1,Rgcc,Srd5a1,Col4a2,Dscc1,Fads2,Acly,Rfc3,Cyp51,Klf15,Elovl4,Sc5d,Chd5,Efr3b,Tmtc1,Col1a1,Pip5k1b,Tsc22d3,Sgk1,Spag9,Adcy8,Agl,Pigq,Stard4,Tesk2,Ldlr,Chst2,Slc25a23,Med22,Atxn1,Pank3,Fdps,Mvd,Sbk1,Dhrs3,Per3,Lss,Nsdhl,Fdft1,Xbp1,Tsc22d4,Hsd17b7,Acsl3,C4b,Dusp18,Mboat1,Dda1,Hmgcs2,Trp53,Gpnmb,Emp2,Tet3,Adipor1,Dcun1d4,Adcy1,Elovl6,Mme,Serpine2,Tmem189,Hsf4,Cds2,Ikbkb,Klf13,Ciart,Mbtps1,Ppm1l,Gar1,Idi1,Hif3a,Acss2,Arid5b,Lcorl,Cdkn2d,Fa2h,Srebf2,Dbp,Hmgcr,Mtmr2,Hnrnpm,Abca2,St3gal3,Mvk,Mbp,Ppp1r16b,Med13l,Id4,Hsd17b12,Prex2,Hmgcs1,Mid1ip1,Dzip3,Hspa8,Fitm1,Sqle,Pja1,Aacs,Ppid,Ugt8a,Mapk8ip1,Acat2,Agpat3,Cdk7,Glul,Msmo1,Ash2l,Ranbp9
GO:0006644	GO:0006644	phospholipid metabolic process	314	16	8.42504493134698e-08	9.50942974670422e-06	Pcyt2,Efr3b,Pip5k1b,Pigq,Ldlr,Fdps,Mvd,Fdft1,Acsl3,Mboat1,Cds2,Idi1,Mtmr2,Mvk,Fitm1,Agpat3
GO:0071704	GO:0071704	organic substance metabolic process	9785	134	1.41671026956531e-07	1.54908413537782e-05	Amz1,Nlrp1b,Cd24a,Dhcr7,Per2,Azin1,Sptb,Dhcr24,Maml3,Tef,Hspa5,Mprip,Murc,Secisbp2l,Mlec,Angptl4,Gna12,Insig1,Tm7sf2,Itih5,Pcyt2,Snta1,Otud7b,Col28a1,Ppp2r2c,Leo1,Rgcc,Srd5a1,Col4a2,Dscc1,Fads2,Acly,Rfc3,Cyp51,Klf15,Elovl4,Sc5d,Chd5,Efr3b,Tmtc1,Col1a1,Pip5k1b,Tsc22d3,Sgk1,Spag9,Adcy8,Agl,Pigq,Stard4,Tesk2,Ldlr,Chst2,Slc25a23,Med22,Atxn1,Pank3,Fdps,Mvd,Sbk1,Dhrs3,Per3,Lss,Nsdhl,Fdft1,Xbp1,Tsc22d4,Hsd17b7,Acsl3,C4b,Dusp18,Mboat1,Dda1,Hmgcs2,Trp53,Gpnmb,Emp2,Tet3,Adipor1,Dcun1d4,Adcy1,Elovl6,Mme,Serpine2,Tmem189,Hsf4,Cds2,Ikbkb,Klf13,Ciart,Mbtps1,Ppm1l,Gar1,Idi1,Hif3a,Acss2,Arid5b,Lcorl,Cd63,Cdkn2d,Fa2h,Srebf2,Dbp,Hmgcr,Mtmr2,Cdh3,Hnrnpm,Abca2,St3gal3,Mvk,Mbp,Ppp1r16b,Med13l,Mzb1,Id4,Hsd17b12,Prex2,Hmgcs1,Mid1ip1,Dzip3,Hspa8,Fitm1,Sqle,Pja1,Aacs,Ppid,Ugt8a,Mapk8ip1,Acat2,Agpat3,Cdk7,Glul,Msmo1,Ash2l,Ranbp9
GO:0072330	GO:0072330	monocarboxylic acid biosynthetic process	170	11	9.17339472935111e-07	9.72657822969683e-05	Per2,Insig1,Acly,Fads2,Elovl4,Stard4,Acsl3,Elovl6,Acss2,Fa2h,Mid1ip1
GO:0065007	GO:0065007	biological regulation	11579	148	1.43123039498635e-06	0.000146842033964188	Rab34,Vat1,Nlrp1b,Slc39a13,Cd24a,Dhcr7,Tfg,Per2,Azin1,Clec5a,Kcnk1,Col1a2,Sptb,Dhcr24,Maml3,Tef,Hspa5,Mprip,Murc,Secisbp2l,Iqgap2,Angptl4,Gna12,Insig1,Arhgef10,Itih5,Mal,Brinp1,Slc7a2,Arhgap24,Snta1,Otud7b,Col26a1,Col28a1,Leo1,Rgcc,Srd5a1,Col4a2,Dscc1,Cacng1,Rfc3,Klf15,Scn3b,Cacna1s,Chd5,Phlda3,Col1a1,Tsc22d3,Sgk1,Syngr3,Bicd1,Spag9,Adcy8,Cyb5d2,Pmp22,Myo10,Stard4,Tesk2,Ldlr,Slc25a23,Med22,Atxn1,Fdps,Sesn1,Mvd,Dhrs3,Per3,Fscn1,Lss,Nsdhl,Gng12,Mpz,Plekhg2,Xbp1,Tsc22d4,Cxcl12,Acsl3,C4b,Dda1,Trp53,Gpnmb,Emp2,Tet3,Lrrc8a,Adipor1,Pdia6,Dcun1d4,Adcy1,Serpine2,Gatsl2,Hsf4,Cds2,Dennd4b,Slc9a9,Ikbkb,Klf13,Ciart,Mbtps1,Col14a1,Sparc,Ppm1l,Hif3a,Arid5b,Lcorl,Cd63,Sdc3,Cdkn2d,Plxnd1,Fa2h,Srebf2,Dbp,Iigp1,Fam107a,Hmgcr,Mtmr2,Cdh3,Hnrnpm,Abca2,Mvk,Hyou1,Mbp,Rassf4,Ppp1r16b,Med13l,Mzb1,Id4,Hsd17b12,Prex2,Mid1ip1,Col4a1,Dzip3,Mt1,Hspa8,Fitm1,Sema5a,Aacs,Slc41a1,Ppid,Manf,Mapk8ip1,Acat2,Tmod2,Cdk7,Tacc1,Glul,Ash2l,Ranbp9,Mt2
GO:1901362	GO:1901362	organic cyclic compound biosynthetic process	3772	65	1.46884000821566e-06	0.000146842033964188	Dhcr7,Per2,Sptb,Dhcr24,Maml3,Tef,Murc,Insig1,Tm7sf2,Otud7b,Leo1,Rgcc,Srd5a1,Col4a2,Dscc1,Rfc3,Cyp51,Klf15,Sc5d,Chd5,Col1a1,Tsc22d3,Adcy8,Stard4,Med22,Atxn1,Pank3,Fdps,Mvd,Per3,Lss,Nsdhl,Fdft1,Xbp1,Tsc22d4,Hsd17b7,Hmgcs2,Trp53,Tet3,Adcy1,Hsf4,Ikbkb,Ciart,Klf13,Hif3a,Arid5b,Lcorl,Cdkn2d,Srebf2,Dbp,Hmgcr,Cdh3,Abca2,Mvk,Med13l,Id4,Hsd17b12,Hmgcs1,Hspa8,Sqle,Ppid,Mapk8ip1,Cdk7,Msmo1,Ash2l
GO:0006633	GO:0006633	fatty acid biosynthetic process	121	9	2.91190148424025e-06	0.000283020647037684	Insig1,Acly,Fads2,Elovl4,Acsl3,Elovl6,Acss2,Fa2h,Mid1ip1
