"Cluster","TermNames","TermIndices"
178,"cellular response to bacterial lipopeptide, detection of bacterium, response to bacterial lipopeptide, detection of other organism, detection of bacterial lipopeptide, cellular response to bacterial lipoprotein, response to bacterial lipoprotein, detection of bacterial lipoprotein","204, 329, 1704, 338, 327, 205, 1705, 328"
179,"cardiac muscle cell action potential involved in contraction, cardiac muscle cell action potential","126, 125"
180,"response to oxygen levels, response to hypoxia, response to decreased oxygen levels","1753, 1731, 1716"
181,"leukocyte activation involved in immune response, cell activation involved in immune response","549, 144"
182,"intracellular monoatomic cation homeostasis, intracellular monoatomic ion homeostasis","528, 529"
183,"amine transport, regulation of amine transport","37, 1323"
184,"organic acid transmembrane transport, carboxylic acid transmembrane transport","940, 120"
185,"chemokine (C-X-C motif) ligand 2 production, regulation of chemokine (C-X-C motif) ligand 2 production, positive regulation of chemokine (C-X-C motif) ligand 2 production","272, 1397, 1054"
186,"alpha-beta T cell differentiation involved in immune response, T cell differentiation involved in immune response, alpha-beta T cell activation involved in immune response","31, 1875, 29"
187,"neuronal action potential propagation, action potential propagation","906, 9"
188,"nephron tubule development, renal tubule development","873, 1692"
189,"axon guidance, neuron projection guidance","72, 901"
190,"positive regulation of synaptic vesicle fusion to presynaptic active zone membrane, regulation of synaptic vesicle fusion to presynaptic active zone membrane, positive regulation of synaptic vesicle membrane organization, positive regulation of vesicle fusion, regulation of synaptic vesicle membrane organization, calcium-dependent activation of synaptic vesicle fusion","1199, 1651, 1200, 1220, 1652, 104"
191,"cell differentiation, cellular developmental process","156, 191"
192,"regulation of tube diameter, regulation of tube size, blood vessel diameter maintenance","1673, 1674, 90"
193,"cellular response to lectin, stimulatory C-type lectin receptor signaling pathway, response to lectin","228, 1848, 1737"
194,"hemoglobin metabolic process, hemoglobin biosynthetic process","477, 476"
195,"base conversion or substitution editing, cytidine to uridine editing","77, 303"
196,"arachidonic acid metabolite production involved in inflammatory response, leukotriene production involved in inflammatory response","59, 562"
197,"detoxification of copper ion, detoxification of inorganic compound, stress response to copper ion, stress response to metal ion","346, 347, 1849, 1850"
198,"positive regulation of endodeoxyribonuclease activity, positive regulation of deoxyribonuclease activity","1070, 1063"
199,"cell cycle DNA replication initiation, nuclear cell cycle DNA replication initiation, mitotic DNA replication initiation","151, 919, 648"
200,"process utilizing autophagic mechanism, autophagy","1238, 66"
201,"chondrocyte development involved in endochondral bone morphogenesis, chondrocyte differentiation involved in endochondral bone morphogenesis, growth plate cartilage chondrocyte differentiation, growth plate cartilage development","279, 281, 465, 467"
202,"axon ensheathment in central nervous system, central nervous system myelination","71, 258"
203,"anterograde trans-synaptic signaling, chemical synaptic transmission","55, 270"
204,"axon ensheathment, myelination, ensheathment of neurons","70, 690, 384"
205,"cholesterol biosynthetic process, sterol biosynthetic process, secondary alcohol biosynthetic process","276, 1846, 1806"
206,"positive regulation by symbiont of entry into host, positive regulation of viral entry into host cell","1004, 1221"
207,"behavioral defense response, behavioral fear response, fear response","79, 80, 427"
208,"mesenchymal to epithelial transition involved in metanephros morphogenesis, renal vesicle development","628, 1693"
209,"negative regulation of hydrogen peroxide-induced neuron intrinsic apoptotic signaling pathway, regulation of hydrogen peroxide-induced neuron intrinsic apoptotic signaling pathway, regulation of intrinsic apoptotic signaling pathway in response to hydrogen peroxide, negative regulation of intrinsic apoptotic signaling pathway in response to hydrogen peroxide, positive regulation of mitochondrial electron transport, NADH to ubiquinone, regulation of mitochondrial electron transport, NADH to ubiquinone, neuron intrinsic apoptotic signaling pathway in response to hydrogen peroxide","774, 1459, 1474, 781, 1130, 1513, 896"
210,"alpha-beta T cell lineage commitment, CD4-positive, alpha-beta T cell lineage commitment, T-helper 17 cell lineage commitment, CD4-positive or CD8-positive, alpha-beta T cell lineage commitment, T cell lineage commitment, T-helper 17 cell differentiation, T-helper cell lineage commitment","32, 142, 1882, 138, 1876, 1881, 1885"
211,"adult walking behavior, walking behavior","24, 1943"
212,"purine nucleoside diphosphate metabolic process, purine ribonucleoside diphosphate metabolic process, ADP metabolic process, glycolytic process","1293, 1296, 20, 455"
213,"acyl-CoA biosynthetic process, purine nucleoside bisphosphate biosynthetic process, ribonucleoside bisphosphate biosynthetic process, thioester biosynthetic process, nucleoside bisphosphate biosynthetic process","14, 1292, 1786, 1891, 925"
